suburb,latitude,longitude,postcode,local_government_area
"Tuerong, Victoria",-38.3,145.105,3915,Shire of Mornington Peninsula
"Somers, Victoria",-38.393,145.163,3927,Shire of Mornington Peninsula
"Merricks, Victoria",-38.39,145.089,3916,Shire of Mornington Peninsula
"Boneo, Victoria",-38.413,144.888,3939,Shire of Mornington Peninsula
"Merricks Beach, Victoria",-38.398,145.106,3926,Shire of Mornington Peninsula
"Main Ridge, Victoria",-38.402,144.972,3928,Shire of Mornington Peninsula
"HMAS Cerberus, Victoria",-38.367,145.187,3920,Shire of Mornington Peninsula
"Flinders, Victoria",-38.474,145.022,3929,Shire of Mornington Peninsula
"Fingal, Victoria",-38.42111,144.86111,3939,Shire of Mornington Peninsula
"Cape Schanck, Victoria",-38.461,144.905,3939,Shire of Mornington Peninsula
"Baxter, Victoria",-38.196,145.157,3911,Shire of Mornington Peninsula
"Tyabb, Victoria",-38.259,145.189,3913,Shire of Mornington Peninsula
"Somerville, Victoria",-38.226,145.177,3912,Shire of Mornington Peninsula
"Hastings, Victoria",-38.306,145.189,3915,Shire of Mornington Peninsula
"Crib Point, Victoria",-38.363,145.202,3919,Shire of Mornington Peninsula
"Balnarring Beach, Victoria",-38.359,145.136,3926,Shire of Mornington Peninsula
"Balnarring, Victoria",-38.371,145.118,3926,Shire of Mornington Peninsula
"Arthurs Seat, Victoria",-38.352,144.953,3936,Shire of Mornington Peninsula
"Tootgarook, Victoria",-38.374,144.849,3941,Shire of Mornington Peninsula
"Sorrento, Victoria",-38.33889,144.74083,3943,Shire of Mornington Peninsula
"St Andrews Beach, Victoria",-38.419,144.83,3941,Shire of Mornington Peninsula
"Safety Beach, Victoria",-38.322,144.986,3936,Shire of Mornington Peninsula
"Rye, Victoria",-38.377,144.838,3941,Shire of Mornington Peninsula
"Rosebud, Victoria",-38.356,144.918,3939,Shire of Mornington Peninsula
"Bittern, Victoria",-38.339,145.175,3918,Shire of Mornington Peninsula
"Portsea, Victoria",-38.32,144.713,3944,Shire of Mornington Peninsula
"Mount Martha, Victoria",-38.267,145.018,3934,Shire of Mornington Peninsula
"Mount Eliza, Victoria",-38.189,145.092,3930,Shire of Mornington Peninsula
"Mornington, Victoria",-38.228,145.062,3931,Shire of Mornington Peninsula
"McCrae, Victoria",-38.351,144.922,3938,Shire of Mornington Peninsula
"Dromana, Victoria",-38.338,144.965,3936,Shire of Mornington Peninsula
"Capel Sound, Victoria",-38.377,144.872,3940,Shire of Mornington Peninsula
"Blairgowrie, Victoria",-38.36,144.769,3942,Shire of Mornington Peninsula
"Pascoe Vale South, Victoria",-37.7431,144.9377,3044,City of Moreland
"Pascoe Vale, Victoria",-37.727,144.942,3044,City of Moreland
"Oak Park, Victoria",-37.718,144.919,3046,City of Moreland
"Hadfield, Victoria",-37.71,144.95,3046,City of Moreland
"Gowanbrae, Victoria",-37.702,144.899,3043,City of Moreland
"Glenroy, Victoria",-37.706,144.924,3046,City of Moreland
"Fawkner, Victoria",-37.707,144.968,3060,City of Moreland
"Coburg North, Victoria",-37.726,144.96,3058,City of Moreland
"Coburg, Victoria",-37.7438,144.9645,3058,City of Moreland
"Brunswick West, Victoria",-37.761,144.943,3055,City of Moreland
"Brunswick East, Victoria",-37.776,144.974,3057,City of Moreland
"Travancore, Victoria",-37.778,144.935,3032,City of Moonee Valley
"Strathmore Heights, Victoria",-37.713,144.897,3041,City of Moonee Valley
"Strathmore, Victoria",-37.734,144.921,3041,City of Moonee Valley
"Niddrie, Victoria",-37.745,144.886,3042,City of Moonee Valley
"Moonee Ponds, Victoria",-37.765,144.92,3039,City of Moonee Valley
"Brunswick, Victoria",-37.7667,144.9628,3056,City of Moreland
"Essendon West, Victoria",-37.755,144.883,3040,City of Moonee Valley
"Essendon North, Victoria",-37.734,144.921,3041,City of Moonee Valley
"Aberfeldie, Victoria",-37.762,144.901,3040,City of Moonee Valley
"Essendon Fields, Victoria",-37.728,144.9,3041,City of Moonee Valley
"Essendon, Victoria",-37.749,144.912,3040,City of Moonee Valley
"Avondale Heights, Victoria",-37.762,144.863,3034,City of Moonee Valley
"Ascot Vale, Victoria",-37.779,144.919,3032,City of Moonee Valley
"Airport West, Victoria",-37.724,144.879,3042,City of Moonee Valley
"Wheelers Hill, Victoria",-37.899,145.183,3150,City of Monash
"Oakleigh South, Victoria",-37.917,145.09,3167,City of Monash
"Oakleigh East, Victoria",-37.896,145.112,3166,City of Monash
"Oakleigh, Victoria",-37.913,145.102,3166,City of Monash
"Notting Hill, Victoria",-37.90417,145.14167,3168,City of Monash
"Mulgrave, Victoria",-37.928,145.174,3170,City of Monash
"Mount Waverley, Victoria",-37.877,145.131,3149,City of Monash
"Monash University, Victoria",-37.9083,145.138,3800,City of Monash
"Huntingdale, Victoria",-37.907,145.094,3166,City of Monash
"Hughesdale, Victoria",-37.894,145.085,3166,City of Monash
"Glen Waverley, Victoria",-37.84,145.166,3150,City of Monash
"Clayton, Victoria",-37.915,145.13,3168,City of Monash
"Chadstone, Victoria",-37.883,145.093,3148,City of Monash
"Burwood, Victoria",-37.85,145.114,3125,City of Monash
"Ashwood, Victoria",-37.867,145.103,3147,City of Monash
"Weir Views, Victoria",-37.72917,144.57083,3338,City of Melton
"Truganina, Victoria",-37.817,144.75,3029,City of Melton
"Toolern Vale, Victoria",-37.60806,144.59306,3337,City of Melton
"Thornhill Park, Victoria",-37.72917,144.625,3335,City of Melton
"Taylors Hill, Victoria",-37.715,144.751,3037,City of Melton
"Strathtulloh, Victoria",-37.73472,144.59583,3338,City of Melton
"Rockbank, Victoria",-37.733,144.667,3335,City of Melton
"Ravenhall, Victoria",-37.765,144.75,3023,City of Melton
"Plumpton, Victoria",-37.68806,144.66806,3335,City of Melton
"Melton, Victoria",-37.68333,144.58333,3337,City of Melton
"Kurunjang, Victoria",-37.672,144.585,3337,City of Melton
"Harkness, Victoria",-37.65417,144.54583,3337,City of Melton
"Grangefields, Victoria",-37.70417,144.6375,3335,City of Melton
"Parwan, Victoria",-37.717,144.45,3340,City of Melton
"Mount Cottrell, Victoria",-37.77389,144.63111,3024,City of Melton
"Melton West, Victoria",-37.675,144.555,3337,City of Melton
"Melton South, Victoria",-37.70306,144.57194,3338,City of Melton
"Exford, Victoria",-37.745,144.55889,3338,City of Melton
"Deanside, Victoria",-37.73056,144.70556,3336,City of Melton
"Cobblebank, Victoria",-37.71139,144.60083,3338,City of Melton
"Caroline Springs, Victoria",-37.745,144.74,3023,City of Melton
"Burnside Heights, Victoria",-37.727,144.76,3023,City of Melton
"Fraser Rise, Victoria",-37.70417,144.7125,3336,City of Melton
"Fieldstone, Victoria",-37.75056,144.64833,3024,City of Melton
"Eynesbury, Victoria",-37.76889,144.56889,3338,City of Melton
"Burnside, Victoria",-37.753,144.754,3023,City of Melton
"Brookfield, Victoria",-37.675,144.525,3338,City of Melton
"Bonnie Brook, Victoria",-37.69444,144.66944,3335,City of Melton
"Aintree, Victoria",-37.71806,144.66806,3336,City of Melton
"West Melbourne, Victoria",-37.808,144.927,3003,City of Melbourne
"South Yarra, Victoria",-37.84,144.989,3141,City of Melbourne
"South Wharf, Victoria",-37.825,144.952,3006,City of Melbourne
"Southbank, Victoria",-37.829,144.957,3006,City of Melbourne
"Parkville, Victoria",-37.788,144.951,3052,City of Melbourne
"North Melbourne, Victoria",-37.79917,144.94667,3051,City of Melbourne
"Kensington, Victoria",-37.791,144.931,3031,City of Melbourne
"Flemington, Victoria",-37.785,144.928,3031,City of Melbourne
"East Melbourne, Victoria",-37.813,144.985,3002,City of Melbourne
"Port Melbourne, Victoria",-37.82389,144.91111,3207,City of Melbourne
"Melbourne CBD (St Kilda Road area), Victoria",-37.82056,144.96889,3004,City of Melbourne
"Melbourne CBD, Victoria",-37.814,144.963,3000,City of Melbourne
"Carlton North, Victoria",-37.784,144.969,3054,City of Melbourne
"Docklands, Victoria",-37.817,144.946,3008,City of Melbourne
"Park Orchards, Victoria",-37.778,145.214,3114,City of Maroondah
"Warranwood, Victoria",-37.777,145.249,3134,City of Maroondah
"Vermont, Victoria",-37.838,145.198,3133,City of Maroondah
"Ringwood East, Victoria",-37.818,145.252,3135,City of Maroondah
"Ringwood, Victoria",-37.8114,145.2306,3134,City of Maroondah
"Carlton, Victoria",-37.8001,144.9671,3053,City of Melbourne
"Kilsyth South, Victoria",-37.83,145.32,3137,City of Maroondah
"Kilsyth, Victoria",-37.802,145.316,3137,City of Maroondah
"Croydon Hills, Victoria",-37.775,145.266,3136,City of Maroondah
"Heathmont, Victoria",-37.83,145.242,3135,City of Maroondah
"Croydon South, Victoria",-37.814,145.271,3136,City of Maroondah
"Croydon North, Victoria",-37.767,145.287,3136,City of Maroondah
"Croydon, Victoria",-37.796,145.281,3136,City of Maroondah
"Bayswater North, Victoria",-37.827,145.28,3153,City of Maroondah
"Yarraville, Victoria",-37.817,144.89,3013,City of Maribyrnong
"West Footscray, Victoria",-37.809,144.874,3012,City of Maribyrnong
"Tottenham, Victoria",-37.806,144.857,3012,City of Maribyrnong
"Seddon, Victoria",-37.81,144.894,3011,City of Maribyrnong
"Maribyrnong, Victoria",-37.77,144.893,3032,City of Maribyrnong
"Maidstone, Victoria",-37.783,144.878,3012,City of Maribyrnong
"Kingsville, Victoria",-37.809,144.878,3012,City of Maribyrnong
"Footscray, Victoria",-37.798,144.899,3011,City of Maribyrnong
"Warrandyte South, Victoria",-37.768,145.201,3134,City of Manningham
"Braybrook, Victoria",-37.786,144.856,3019,City of Maribyrnong
"Templestowe Lower, Victoria",-37.765,145.114,3107,City of Manningham
"Wonga Park, Victoria",-37.739,145.267,3115,City of Manningham
"Warrandyte, Victoria",-37.738,145.223,3113,City of Manningham
"Templestowe, Victoria",-37.753,145.135,3106,City of Manningham
"Ringwood North, Victoria",-37.799883,145.226877,3134,City of Manningham
"Nunawading, Victoria",-37.817,145.177,3131,City of Manningham
"Donvale, Victoria",-37.797,145.175,3111,City of Manningham
"Doncaster East, Victoria",-37.783,145.166,3109,City of Manningham
"Park Orchards, Victoria",-37.778,145.214,3114,City of Manningham
"Doncaster, Victoria",-37.78,145.124,3108,City of Manningham
"Bulleen, Victoria",-37.77,145.09,3105,City of Manningham
"Wantirna South, Victoria",-37.881,145.224,3152,City of Knox
"Wantirna, Victoria",-37.844,145.229,3152,City of Knox
"Upper Ferntree Gully, Victoria",-37.895,145.31,3156,City of Knox
"Scoresby, Victoria",-37.894,145.234,3179,City of Knox
"Lysterfield, Victoria",-37.93,145.301,3156,City of Knox
"Rowville, Victoria",-37.937,145.229,3178,City of Knox
"Knoxfield, Victoria",-37.891,145.248,3180,City of Knox
"The Basin, Victoria",-37.86,145.314,3154,City of Knox
"Sassafras, Victoria",-37.87,145.35389,3787,City of Knox
"Ferntree Gully, Victoria",-37.8862,145.2821,3156,City of Knox
"Boronia, Victoria",-37.862,145.286,3155,City of Knox
"Waterways, Victoria",-38.016,145.13,3195,City of Kingston
"Parkdale, Victoria",-37.991,145.08,3195,City of Kingston
"Mordialloc, Victoria",-37.999,145.092,3195,City of Kingston
"Moorabbin Airport, Victoria",-37.97583,145.10222,3194,City of Kingston
"Bayswater, Victoria",-37.843,145.268,3153,City of Knox
"Patterson Lakes, Victoria",-38.076,145.122,3197,City of Kingston
"Heatherton, Victoria",-37.95,145.085,3202,City of Kingston
"Mentone, Victoria",-37.985,145.06889,3194,City of Kingston
"Edithvale, Victoria",-38.037,145.113,3196,City of Kingston
"Chelsea, Victoria",-38.05111,145.12194,3196,City of Kingston
"Dingley Village, Victoria",-37.981,145.128,3172,City of Kingston
"Clayton South, Victoria",-37.947,145.123,3169,City of Kingston
"Clarinda, Victoria",-37.941,145.103,3169,City of Kingston
"Chelsea Heights, Victoria",-38.047,145.137,3196,City of Kingston
"Carrum, Victoria",-38.076,145.122,3197,City of Kingston
"Braeside, Victoria",-38,145.125,3195,City of Kingston
"Bonbeach, Victoria",-38.062,145.12,3196,City of Kingston
"Aspendale Gardens, Victoria",-38.02278,145.11889,3195,City of Kingston
"Aspendale, Victoria",-38.025,145.104,3195,City of Kingston
"Yuroke, Victoria",-37.6,144.88,3063,City of Hume
"Wildwood, Victoria",-37.57167,144.79361,3429,City of Hume
"Oaklands Junction, Victoria",-37.63,144.837,3063,City of Hume
"Kalkallo, Victoria",-37.52694,144.94694,3064,City of Hume
"Mickleham, Victoria",-37.562,144.874,3064,City of Hume
"Sunbury, Victoria",-37.58111,144.71389,3429,City of Hume
"Westmeadows, Victoria",-37.678,144.893,3049,City of Hume
"Somerton, Victoria",-37.633,144.95,3062,City of Hume
"Roxburgh Park, Victoria",-37.627,144.929,3064,City of Hume
"Diggers Rest, Victoria",-37.62806,144.72111,3427,City of Hume
"Melbourne Airport, Victoria",-37.6875,144.84056,3045,City of Hume
"Clarkefield, Victoria",-37.483,144.75,3430,City of Hume
"Bulla, Victoria",-37.63694,144.80306,3428,City of Hume
"Coolaroo, Victoria",-37.657,144.927,3048,City of Hume
"Campbellfield, Victoria",-37.673,144.957,3061,City of Hume
"Meadow Heights, Victoria",-37.65,144.922,3048,City of Hume
"Jacana, Victoria",-37.68,144.912,3047,City of Hume
"Greenvale, Victoria",-37.633,144.883,3059,City of Hume
"Gladstone Park, Victoria",-37.688,144.892,3043,City of Hume
"Dallas, Victoria",-37.668,144.94,3047,City of Hume
"Craigieburn, Victoria",-37.594,144.934,3064,City of Hume
"Seaholme, Victoria",-37.868,144.841,3018,City of Hobsons Bay
"Seabrook, Victoria",-37.876,144.758,3028,City of Hobsons Bay
"Spotswood, Victoria",-37.831,144.887,3015,City of Hobsons Bay
"Broadmeadows, Victoria",-37.685,144.925,3047,City of Hume
"Attwood, Victoria",-37.666,144.887,3049,City of Hume
"Williamstown North, Victoria",-37.855,144.89611,3016,City of Hobsons Bay
"South Kingsville, Victoria",-37.819,144.873,3015,City of Hobsons Bay
"Williamstown, Victoria",-37.861,144.885,3016,City of Hobsons Bay
"Laverton, Victoria",-37.858,144.773,3028,City of Hobsons Bay
"Altona Meadows, Victoria",-37.875,144.782,3028,City of Hobsons Bay
"Bangholme, Victoria",-38.049,145.166,3175,City of Greater Dandenong
"Springvale, Victoria",-37.947,145.153,3171,City of Greater Dandenong
"Springvale South, Victoria",-37.977,145.157,3172,City of Greater Dandenong
"Newport, Victoria",-37.842,144.884,3015,City of Hobsons Bay
"Altona North, Victoria",-37.841,144.849,3025,City of Hobsons Bay
"Altona, Victoria",-37.868,144.83,3018,City of Hobsons Bay
"Noble Park North, Victoria",-37.942,145.19,3174,City of Greater Dandenong
"Noble Park, Victoria",-37.967,145.176,3174,City of Greater Dandenong
"Dandenong South, Victoria",-38.031,145.215,3175,City of Greater Dandenong
"Dandenong North, Victoria",-37.959,145.208,3175,City of Greater Dandenong
"Dandenong, Victoria",-37.981,145.215,3175,City of Greater Dandenong
"St Kilda East, Victoria",-37.862,144.997,3183,City of Glen Eira
"Ormond, Victoria",-37.84,145.0397,3204,City of Glen Eira
"Keysborough, Victoria",-37.989,145.172,3173,City of Greater Dandenong
"McKinnon, Victoria",-37.91,145.039,3204,City of Glen Eira
"Murrumbeena, Victoria",-37.899,145.072,3163,City of Glen Eira
"Carnegie, Victoria",-37.888,145.062,3163,City of Glen Eira
"Caulfield South, Victoria",-37.891,145.026,3162,City of Glen Eira
"Caulfield North, Victoria",-37.873,145.025,3161,City of Glen Eira
"Glen Huntly, Victoria",-37.894,145.046,3163,City of Glen Eira
"Gardenvale, Victoria",-37.899,145.007,3185,City of Glen Eira
"Elsternwick, Victoria",-37.887,145.006,3185,City of Glen Eira
"Caulfield East, Victoria",-37.876,145.044,3145,City of Glen Eira
"Sandhurst, Victoria",-38.081,145.207,3977,City of Frankston
"Caulfield, Victoria",-37.884,145.0266,3162,City of Glen Eira
"Bentleigh East, Victoria",-37.921,145.067,3165,City of Glen Eira
"Bentleigh, Victoria",-37.922,145.036,3204,City of Glen Eira
"Langwarrin South, Victoria",-38.189,145.189,3911,City of Frankston
"Skye, Victoria",-38.119,145.2,3977,City of Frankston
